problem,run,generation_window,block,operator,selection_count,selection_probability
T500,1,2000-2050,offload,BITFLIP,24,0.06
T500,1,2000-2050,offload,RESAMPLE,7,0.0175
T500,1,2000-2050,seq,GA,82,0.205
T500,1,2000-2050,seq,SWAP,198,0.495
T500,1,2000-2050,seq,VNS,120,0.3
T500,1,2000-2050,seq,RESAMPLE,0,0.0
T500,1,2000-2050,dev,DE,156,0.39
T500,1,2000-2050,dev,GDE,234,0.585
T500,1,2000-2050,dev,LEVY,10,0.025
T500,1,2000-2050,dev,RESAMPLE,0,0.0
T500,1,2050-2100,offload,GA,116,0.29
T500,1,2050-2100,offload,DE,225,0.5625
T500,1,2050-2100,offload,BITFLIP,59,0.1475
T500,1,2050-2100,offload,RESAMPLE,0,0.0
T500,1,2050-2100,seq,GA,165,0.4125
T500,1,2050-2100,seq,SWAP,168,0.42
T500,1,2050-2100,seq,VNS,67,0.1675
T500,1,2050-2100,seq,RESAMPLE,0,0.0
T500,1,2050-2100,dev,DE,181,0.4525
T500,1,2050-2100,dev,GDE,204,0.51
T500,1,2050-2100,dev,LEVY,15,0.0375
T500,1,2050-2100,dev,RESAMPLE,0,0.0
T500,1,2100-2150,offload,GA,113,0.2825
T500,1,2100-2150,offload,DE,260,0.65
T500,1,2100-2150,offload,BITFLIP,27,0.0675
T500,1,2100-2150,offload,RESAMPLE,0,0.0
T500,1,2100-2150,seq,GA,68,0.17
T500,1,2100-2150,seq,SWAP,211,0.5275
T500,1,2100-2150,seq,VNS,121,0.3025
T500,1,2100-2150,seq,RESAMPLE,0,0.0
T500,1,2100-2150,dev,DE,188,0.47
T500,1,2100-2150,dev,GDE,203,0.5075
T500,1,2100-2150,dev,LEVY,9,0.0225
T500,1,2100-2150,dev,RESAMPLE,0,0.0
T500,1,2150-2200,offload,GA,84,0.21
T500,1,2150-2200,offload,DE,298,0.745
T500,1,2150-2200,offload,BITFLIP,18,0.045
T500,1,2150-2200,offload,RESAMPLE,0,0.0
T500,1,2150-2200,seq,GA,92,0.23
T500,1,2150-2200,seq,SWAP,162,0.405
T500,1,2150-2200,seq,VNS,146,0.365
T500,1,2150-2200,seq,RESAMPLE,0,0.0
T500,1,2150-2200,dev,DE,126,0.315
T500,1,2150-2200,dev,GDE,243,0.6075
T500,1,2150-2200,dev,LEVY,31,0.0775
T500,1,2150-2200,dev,RESAMPLE,0,0.0
T500,1,2200-2250,offload,GA,108,0.27
T500,1,2200-2250,offload,DE,273,0.6825
T500,1,2200-2250,offload,BITFLIP,19,0.0475
