gen,full_mean,full_var,full_ci95,nocc_mean,nocc_var,nocc_ci95
7300,0.3426613,8.886160099999907e-07,0.0005842693954004407,0.3670023,0.0001715709538100001,0.008118540362383478
7350,0.3426613,8.886160099999907e-07,0.0005842693954004407,0.36698189999999997,0.00017097172829000015,0.008104350630364314
7400,0.3426409,9.178736899999873e-07,0.0005938100342284518,0.36691039999999997,0.00017260473824000009,0.008142962375099028
7450,0.3426409,9.178736899999873e-07,0.0005938100342284518,0.3668818,0.00017323583156000008,0.008157835316558532
7500,0.3426204,8.986918399999916e-07,0.0005875725123373257,0.3668308,0.00017313986416000004,0.008155575406781891
7550,0.3426,8.971087999999927e-07,0.0005870547816073021,0.3667858,0.00017426462116000005,0.008182022785645712
7600,0.342598,8.90412799999986e-07,0.0005848597962315366,0.3667429,0.00017416130949000002,0.008179597096048093
7650,0.3425714,8.082028399999901e-07,0.0005572066071166027,0.3667204,0.00017476665623999995,0.008193800013495471
7700,0.3425714,8.082028399999901e-07,0.0005572066071166027,0.3667204,0.00017476665623999995,0.008193800013495471
7750,0.3425714,8.082028399999901e-07,0.0005572066071166027,0.3667204,0.00017476665623999995,0.008193800013495471
7800,0.3425714,8.082028399999901e-07,0.0005572066071166027,0.3666795,0.00017569986744999996,0.008215647331743979
7850,0.3425714,8.082028399999901e-07,0.0005572066071166027,0.36663049999999997,0.00017687351544999993,0.008243041289188839
7900,0.3425714,8.082028399999901e-07,0.0005572066071166027,0.3666019,0.00017754116528999995,0.008258584264739712
7950,0.3425714,8.082028399999901e-07,0.0005572066071166027,0.3665794,0.00017809327704,0.008271415435564
8000,0.3425714,8.082028399999901e-07,0.0005572066071166027,0.3665794,0.00017809327704,0.008271415435564
8050,0.342551,8.095981999999906e-07,0.0005576874075250367,0.3665305,0.00017694316644999999,0.008244664142548925
8100,0.342551,8.095981999999906e-07,0.0005576874075250367,0.366453,0.0001774730242,0.008256999271931178
8150,0.3425306,8.768284399999846e-07,0.0005803812656438817,0.3664285,0.00017685544045000003,0.008242620093348474
8200,0.3425306,8.768284399999846e-07,0.0005803812656438817,0.3664019,0.00017753359148999997,0.008258408109726618
8250,0.3425306,8.768284399999846e-07,0.0005803812656438817,0.3663264,0.00017826529844000013,0.00827540917711689
8300,0.3425102,8.799047599999844e-07,0.0005813984972474508,0.3662978,0.00017755219176000011,0.008258840716863452
8350,0.3425102,8.799047599999844e-07,0.0005813984972474508,0.3662447,0.00017772083061,0.008262761904299167
8400,0.3425102,8.799047599999844e-07,0.0005813984972474508,0.3661712,0.00017957477675999983,0.008305747783319785
8450,0.3425102,8.799047599999844e-07,0.0005813984972474508,0.3661426,0.00018048716823999982,0.008326821155223544
8500,0.3425102,8.799047599999844e-07,0.0005813984972474508,0.3660936,0.00018043891803999997,0.008325708063236808
8550,0.3425102,8.799047599999844e-07,0.0005813984972474508,0.366018,0.0001799689834,0.008314859268980082
8600,0.3424898,9.071591599999897e-07,0.0005903340265524223,0.366018,0.0001799689834,0.008314859268980082
8650,0.3424694,8.494108399999945e-07,0.0005712352127577552,0.36599349999999997,0.00018059707764999996,0.00832935611857387
8700,0.3424694,8.494108399999945e-07,0.0005712352127577552,0.36599349999999997,0.00018059707764999996,0.00832935611857387
8750,0.3424694,8.494108399999945e-07,0.0005712352127577552,0.3659282,0.0001812497579600001,0.008344393747775427
8800,0.3424694,8.494108399999945e-07,0.0005712352127577552,0.3659282,0.0001812497579600001,0.008344393747775427
8850,0.3424694,8.494108399999945e-07,0.0005712352127577552,0.365873,0.00018255740180000009,0.008374440367898504
8900,0.3424694,8.494108399999945e-07,0.0005712352127577552,0.365873,0.00018255740180000009,0.008374440367898504
8950,0.3424694,8.494108399999945e-07,0.0005712352127577552,0.3658526,0.00018308371364000018,0.008386503409165375
9000,0.342449,7.991533999999853e-07,0.0005540783068700618,0.3658057,0.0001844477054100002,0.00841768557920202
9050,0.34242649999999997,8.084796499999867e-07,0.0005573020207607315,0.3657587,0.00018415356021000002,0.00841097091246151
9100,0.34242649999999997,8.084796499999867e-07,0.0005573020207607315,0.3657301,0.00018345356949,0.00839497011640175
9150,0.34242649999999997,8.084796499999867e-07,0.0005573020207607315,0.3657301,0.00018345356949,0.00839497011640175
9200,0.34242649999999997,8.084796499999867e-07,0.0005573020207607315,0.3657056,0.00018406054964000001,0.008408846576653804
9250,0.3424245,8.097496499999846e-07,0.0005577395678486457,0.3657056,0.00018406054964000001,0.008408846576653804
9300,0.3424245,8.097496499999846e-07,0.0005577395678486457,0.3657056,0.00018406054964000001,0.008408846576653804
9350,0.3424245,8.097496499999846e-07,0.0005577395678486457,0.3656525,0.00018564574705000003,0.008444978992675352
9400,0.342398,7.911863999999876e-07,0.0005513095023886267,0.36560349999999997,0.00018684252985000014,0.008472155939734351
9450,0.342398,7.911863999999876e-07,0.0005513095023886267,0.3655811,0.00018738955129000013,0.008484548899238336
