gen,bandit_adaptive mean,bandit_adaptive var,random_ops mean,random_ops var,fixed_ops mean,fixed_ops var
5100,0.03957931,2.4573769108999995e-06,0.038552789999999997,1.1627805489000005e-06,0.0396327,2.2440493319999973e-06
5150,0.039560490000000004,2.4913674169000004e-06,0.03851686,1.1646690423999975e-06,0.03960409,2.2776858328999993e-06
5200,0.039533620000000005,2.533133931600001e-06,0.03849302,1.1875176615999986e-06,0.039574609999999996,2.3066054108999962e-06
5250,0.03951883,2.5647762361000034e-06,0.03847282,1.1704485775999994e-06,0.03954576,2.318123374399997e-06
5300,0.03950152,2.589183491600001e-06,0.03844928,1.180340225600001e-06,0.039515220000000004,2.3462551035999998e-06
5350,0.0394836,2.6078120540000023e-06,0.03841945,1.1908486745000025e-06,0.03948622,2.368934401599997e-06
5400,0.03946003,2.622703476100003e-06,0.03840396,1.1908847504000004e-06,0.03945605,2.383721948500002e-06
5450,0.03942159,2.6702975069000027e-06,0.038378060000000006,1.1813888404000011e-06,0.03942651,2.4286700588999972e-06
5500,0.0394025,2.697228754000002e-06,0.038357760000000005,1.1852978904e-06,0.03940739,2.431108660900003e-06
5550,0.03937678,2.722136097600002e-06,0.03833994,1.2021453044000006e-06,0.03937812,2.4583249776e-06
5600,0.039362350000000004,2.749460338500001e-06,0.03832386,1.1958111984e-06,0.03935069,2.495048924900004e-06
5650,0.039350829999999996,2.770273956100001e-06,0.038303330000000003,1.200235942100002e-06,0.039320270000000004,2.5240515060999983e-06
5700,0.03933031,2.788971708900003e-06,0.03828742,1.1951588395999997e-06,0.0392975,2.533907884e-06
5750,0.039311780000000004,2.8220813396000036e-06,0.03825923,1.2006166221000006e-06,0.03927626,2.5566933983999956e-06
5800,0.0392966,2.851486742000002e-06,0.03822921,1.2053413289000002e-06,0.03925899,2.5582800008999984e-06
5850,0.03927833,2.8625783381e-06,0.038210480000000005,1.2051159416000017e-06,0.03923082,2.5547212956e-06
5900,0.039255620000000005,2.898373379600001e-06,0.03819268,1.210916419599998e-06,0.039186320000000004,2.601667801599999e-06
5950,0.03922445,2.9434662465000023e-06,0.03817551,1.2132462649000002e-06,0.03916507,2.620701064100001e-06
6000,0.03920631,2.9812197528999988e-06,0.03814903,1.2581082080999969e-06,0.03914713,2.615622160099998e-06
6050,0.03919125,3.015438328499998e-06,0.0381323,1.2698412560000024e-06,0.03912809,2.594489046899998e-06
6100,0.03917738,3.044940749599999e-06,0.03811876,1.2799375784000003e-06,0.03910781,2.6055049769000036e-06
6150,0.03916113,3.0659087921000014e-06,0.03810112,1.2783991395999984e-06,0.03908233,2.642872680099998e-06
6200,0.039151000000000005,3.079739926000002e-06,0.03808995,1.273563892499997e-06,0.03906573,2.6512687580999997e-06
6250,0.039136080000000004,3.111072411600001e-06,0.038072,1.277393127999999e-06,0.0390465,2.652780888000004e-06
6300,0.03912684,3.1331118204000022e-06,0.03803973,1.303320716099999e-06,0.039038489999999995,2.6351215749000006e-06
