gen,CCHIHH_Full mean,CCHIHH_Full var,GDE mean,GDE var,CGA mean,CGA var,IMOMA mean,IMOMA var
8450,0.02639407,7.53771488099999e-07,0.02626233,2.017582721000003e-07,0.04006587,6.011514840999995e-07,0.046818700000000005,2.2498147980000014e-06
8500,0.026382830000000003,7.54884078099999e-07,0.02625071,2.0623573489999996e-07,0.039989659999999996,5.992281304000011e-07,0.04681771,2.2527952029000013e-06
8550,0.02637373,7.539300320999995e-07,0.02624171,2.107572288999998e-07,0.039964330000000006,5.874461121e-07,0.04681771,2.2527952029000013e-06
8600,0.02636085,7.559911564999996e-07,0.026229590000000004,2.069025549e-07,0.03993645,5.663614544999999e-07,0.04681771,2.2527952029000013e-06
8650,0.026353130000000002,7.564685640999994e-07,0.026226359999999997,2.065315563999997e-07,0.03991862,5.722813655999991e-07,0.04681771,2.2527952029000013e-06
8700,0.02634363,7.520391040999996e-07,0.026214929999999997,2.0226508010000004e-07,0.03987235,5.959070205000001e-07,0.04681771,2.2527952029000013e-06
8750,0.026327109999999997,7.494256649e-07,0.02620802,2.0304188960000041e-07,0.03984976,5.902330564000012e-07,0.04681771,2.2527952029000013e-06
8800,0.0263129,7.445346079999998e-07,0.026201219999999997,2.0578235959999972e-07,0.03982952,5.918329136000001e-07,0.04673874,2.177785548400001e-06
8850,0.026299319999999998,7.473523755999991e-07,0.02618895,2.0893696849999982e-07,0.03980731,5.964416928999999e-07,0.04673874,2.177785548400001e-06
8900,0.02628682,7.517666555999998e-07,0.02618123,2.117431801000003e-07,0.03978301,5.926170268999992e-07,0.04673874,2.177785548400001e-06
8950,0.02627212,7.579281536000002e-07,0.02617381,2.1212680089999974e-07,0.03975299,6.154809568999992e-07,0.04673874,2.177785548400001e-06
9000,0.0262536,7.691633819999997e-07,0.026167160000000002,2.1010599840000052e-07,0.039738220000000005,6.143011116000012e-07,0.04673874,2.177785548400001e-06
