gen,bandit_adaptive mean,bandit_adaptive var,fixed_ops mean,fixed_ops var
1600,0.03212843,1.642291521000001e-07,0.0363503,2.3338153800000083e-07
1650,0.03196311,1.6777215289999966e-07,0.03629677,2.3678250810000074e-07
1700,0.0318148,1.745586639999995e-07,0.03621898,2.4098785759999954e-07
1750,0.03164106,1.762573664000005e-07,0.03615024,2.3667928839999936e-07
1800,0.03148089,1.7366225489999956e-07,0.03609525,2.1706252449999961e-07
1850,0.03133661,1.7052754490000053e-07,0.03603782,2.2777716559999955e-07
1900,0.031193969999999998,1.7084645009999987e-07,0.03597536,2.270947263999992e-07
1950,0.031075399999999996,1.6156936199999944e-07,0.03594156,2.2995792039999892e-07
2000,0.03097783,1.455678621000002e-07,0.03588575,2.3915009449999983e-07
2050,0.030868529999999998,1.3485535009999944e-07,0.035843799999999995,2.443367039999998e-07
2100,0.03076016,1.4453575439999987e-07,0.035798029999999995,2.5349915609999986e-07
2150,0.03066043,1.515455880999998e-07,0.03576285,2.598548165000005e-07
2200,0.03052786,1.635575403999997e-07,0.03572443,2.449842801000006e-07
2250,0.030408599999999997,1.5597964200000005e-07,0.0356763,2.612160979999995e-07
2300,0.03031036,1.5302438239999992e-07,0.03564743,2.6659647410000043e-07
2350,0.030215749999999996,1.6325743849999978e-07,0.035615,2.7138991000000004e-07
2400,0.030118689999999997,1.6406967890000036e-07,0.03559213,2.813864421000003e-07
2450,0.03002374,1.7918035040000018e-07,0.03556187,2.735333101e-07
2500,0.029923490000000004,1.8461821490000006e-07,0.03552258,2.8958476160000054e-07
2550,0.029834640000000003,1.9580321440000028e-07,0.035489019999999996,2.939406955999998e-07
2600,0.029764230000000003,2.062535300999999e-07,0.03545413,2.8728792010000055e-07
2650,0.02968364,2.0727431839999992e-07,0.03542491,2.792570349000002e-07
2700,0.02958848,2.0963777760000002e-07,0.035405229999999996,2.6987485010000054e-07
2750,0.02950098,2.1974239960000066e-07,0.03533562,2.758532195999997e-07
