gen,CCHIHH_Full mean,CCHIHH_Full var,CGA mean,CGA var,IMOMA mean,IMOMA var,DSAC_DE mean,DSAC_DE var
2650,0.3448875,3.4414004999999193e-07,0.3684769,3.649940090000007e-06,0.38153800000000004,1.6536100000000023e-06,0.33566609999999997,6.250875089999955e-06
2700,0.3447731,4.025088899999984e-07,0.3683217,3.7656326099999834e-06,0.38153800000000004,1.6536100000000023e-06,0.3355347,6.245537410000046e-06
2750,0.34472420000000004,5.052821600000045e-07,0.3681012,3.644198760000009e-06,0.3815115,1.602690249999999e-06,0.33541920000000003,6.017129759999962e-06
2800,0.3446997,4.812738100000001e-07,0.3678622,3.7333289600000342e-06,0.381344,2.012917999999996e-06,0.3352941,6.162739889999957e-06
2850,0.34460379999999996,4.5827176000000007e-07,0.3676314,3.963498240000008e-06,0.38132350000000004,2.0272372499999967e-06,0.3351902,6.124323160000023e-06
2900,0.3445017,5.148822100000038e-07,0.3674598,4.015449759999995e-06,0.38121930000000004,2.0707036100000005e-06,0.3350241,6.141972289999971e-06
2950,0.3444568,5.020213599999879e-07,0.3671982,4.40797496000002e-06,0.3811682,2.10149136e-06,0.3349107,6.0634082100000205e-06
3000,0.3443832,4.478563599999893e-07,0.3671023,4.438900409999996e-06,0.38114159999999997,2.0165788400000036e-06,0.33479899999999996,6.0396208000000015e-06
3050,0.3443443,4.6373400999999304e-07,0.3668532,5.0338159600000104e-06,0.3811192,2.050107160000004e-06,0.3346887,6.014822810000029e-06
3100,0.3443381,4.7029269000000405e-07,0.3667959,5.217170890000008e-06,0.3811192,2.050107160000004e-06,0.3345414,6.072781439999993e-06
3150,0.3443155,5.061520499999998e-07,0.36652629999999997,4.900150009999975e-06,0.3809129,2.0854180899999853e-06,0.3344045,6.077776849999981e-06
3200,0.3442503,4.821950100000067e-07,0.3663731,5.101475089999997e-06,0.3808905,2.102294249999986e-06,0.3342889,6.0071088899999775e-06
3250,0.3442014,4.1309324000001107e-07,0.3661424,5.280218040000004e-06,0.3807476,1.5396500400000081e-06,0.3341503,5.9981604100000455e-06
3300,0.3441523,3.9782481000000786e-07,0.3658809,5.471362489999965e-06,0.3806986,1.7038166400000253e-06,0.3340209,5.82121369000003e-06
