task_id,type,assigned_tier,server_id,start_time,end_time,job_id,op_index
MFG_j26_op2,MFG,device,d150,1215.320000,1357.106000,j26,2
MFG_j26_op3,MFG,device,d202,1423.326000,1508.152000,j26,3
MFG_j26_op4,MFG,device,d35,472.950000,585.226000,j26,4
MFG_j26_op5,MFG,device,d179,598.750000,689.760000,j26,5
MFG_j27_op1,MFG,device,d25,689.760000,831.374000,j27,1
MFG_j27_op2,MFG,device,d111,831.374000,944.536000,j27,2
MFG_j27_op3,MFG,device,d24,944.536000,1049.466000,j27,3
MFG_j27_op4,MFG,device,d186,895.866000,956.416000,j27,4
MFG_j27_op5,MFG,device,d51,1185.418000,1272.978000,j27,5
MFG_j28_op1,MFG,device,d216,1272.978000,1374.076000,j28,1
MFG_j28_op2,MFG,device,d294,1998.588000,2091.368000,j28,2
MFG_j28_op3,MFG,device,d245,2091.368000,2172.710000,j28,3
MFG_j28_op4,MFG,device,d106,703.056000,774.420000,j28,4
MFG_j28_op5,MFG,device,d127,774.420000,905.904000,j28,5
MFG_j29_op1,MFG,device,d105,905.904000,1053.658000,j29,1
MFG_j29_op2,MFG,device,d106,1492.646000,1635.990000,j29,2
MFG_j29_op3,MFG,device,d108,1635.990000,1745.640000,j29,3
MFG_j29_op4,MFG,device,d75,354.272000,490.830000,j29,4
MFG_j29_op5,MFG,device,d18,490.830000,560.658000,j29,5
MFG_j30_op1,MFG,device,d27,560.658000,644.242000,j30,1
MFG_j30_op2,MFG,device,d183,945.282000,1063.370000,j30,2
MFG_j30_op3,MFG,device,d265,1063.370000,1122.316000,j30,3
MFG_j30_op4,MFG,device,d64,560.658000,640.200000,j30,4
MFG_j30_op5,MFG,device,d82,640.200000,793.910000,j30,5
MFG_j31_op1,MFG,device,d177,793.910000,873.938000,j31,1
MFG_j31_op2,MFG,device,d50,876.082000,959.854000,j31,2
MFG_j31_op3,MFG,device,d89,959.854000,1043.604000,j31,3
MFG_j31_op4,MFG,device,d181,281.576000,412.642000,j31,4
MFG_j31_op5,MFG,device,d43,653.248000,718.332000,j31,5
MFG_j32_op1,MFG,device,d196,907.752000,1038.086000,j32,1
MFG_j32_op2,MFG,device,d210,1263.790000,1349.038000,j32,2
MFG_j32_op3,MFG,device,d226,1349.038000,1467.848000,j32,3
MFG_j32_op4,MFG,device,d64,776.028000,866.322000,j32,4
MFG_j32_op5,MFG,device,d127,922.608000,1008.718000,j32,5
MFG_j33_op1,MFG,device,d205,1008.718000,1164.116000,j33,1
MFG_j33_op2,MFG,device,d54,1164.116000,1244.306000,j33,2
MFG_j33_op3,MFG,device,d224,1706.380000,1828.348000,j33,3
MFG_j33_op4,MFG,device,d171,309.532000,444.938000,j33,4
MFG_j33_op5,MFG,device,d207,523.460000,633.386000,j33,5
MFG_j34_op1,MFG,device,d120,633.386000,775.490000,j34,1
MFG_j34_op2,MFG,device,d120,1110.482000,1187.018000,j34,2
MFG_j34_op3,MFG,device,d239,1187.018000,1268.278000,j34,3
MFG_j34_op4,MFG,device,d186,551.144000,653.248000,j34,4
MFG_j34_op5,MFG,device,d239,653.248000,722.744000,j34,5
MFG_j35_op1,MFG,device,d130,1365.886000,1510.470000,j35,1
MFG_j35_op2,MFG,device,d59,1510.470000,1605.444000,j35,2
MFG_j35_op3,MFG,device,d57,1605.444000,1744.836000,j35,3
MFG_j35_op4,MFG,device,d50,734.750000,812.686000,j35,4
MFG_j35_op5,MFG,device,d33,1434.600000,1506.414000,j35,5
MFG_j36_op1,MFG,device,d71,1506.414000,1654.684000,j36,1
MFG_j36_op2,MFG,device,d139,1654.684000,1752.096000,j36,2
MFG_j36_op3,MFG,device,d242,1752.096000,1853.554000,j36,3
MFG_j36_op4,MFG,device,d40,292.734000,360.232000,j36,4
MFG_j36_op5,MFG,device,d11,360.232000,475.936000,j36,5
MFG_j37_op1,MFG,device,d55,475.936000,570.634000,j37,1
MFG_j37_op2,MFG,device,d151,570.634000,661.104000,j37,2
MFG_j37_op3,MFG,device,d127,983.840000,1046.860000,j37,3
MFG_j37_op4,MFG,device,d201,417.590000,513.060000,j37,4
MFG_j37_op5,MFG,device,d126,513.060000,655.932000,j37,5
MFG_j38_op1,MFG,device,d104,655.932000,739.588000,j38,1
MFG_j38_op2,MFG,device,d227,739.588000,830.906000,j38,2
MFG_j38_op3,MFG,device,d144,830.906000,956.310000,j38,3
MFG_j38_op4,MFG,device,d43,1628.922000,1749.650000,j38,4
MFG_j38_op5,MFG,device,d196,1755.264000,1876.030000,j38,5
MFG_j39_op1,MFG,device,d178,1876.030000,1998.980000,j39,1
MFG_j39_op2,MFG,device,d130,1998.980000,2154.580000,j39,2
MFG_j39_op3,MFG,device,d130,2154.580000,2246.960000,j39,3
MFG_j39_op4,MFG,device,d226,704.322000,859.654000,j39,4
MFG_j39_op5,MFG,device,d93,859.654000,922.608000,j39,5
MFG_j40_op1,MFG,device,d103,922.608000,995.950000,j40,1
MFG_j40_op2,MFG,device,d37,995.950000,1064.780000,j40,2
MFG_j40_op3,MFG,device,d134,1223.952000,1363.498000,j40,3
MFG_j40_op4,MFG,device,d282,585.806000,692.706000,j40,4
MFG_j40_op5,MFG,device,d40,755.986000,895.824000,j40,5
MFG_j41_op1,MFG,device,d97,895.824000,1052.208000,j41,1
MFG_j41_op2,MFG,device,d88,1052.208000,1191.936000,j41,2
MFG_j41_op3,MFG,device,d30,1304.956000,1423.326000,j41,3
MFG_j41_op4,MFG,device,d36,369.914000,458.622000,j41,4
MFG_j41_op5,MFG,device,d242,534.116000,681.772000,j41,5
MFG_j42_op1,MFG,device,d156,681.772000,826.426000,j42,1
MFG_j42_op2,MFG,device,d104,826.426000,920.918000,j42,2
MFG_j42_op3,MFG,device,d295,920.918000,1048.954000,j42,3
MFG_j42_op4,MFG,device,d276,287.982000,349.600000,j42,4
MFG_j42_op5,MFG,device,d69,349.600000,413.046000,j42,5
MFG_j43_op1,MFG,device,d225,413.046000,539.792000,j43,1
MFG_j43_op2,MFG,device,d26,1165.228000,1285.868000,j43,2
MFG_j43_op3,MFG,device,d24,1285.868000,1426.540000,j43,3
MFG_j43_op4,MFG,device,d248,832.540000,949.930000,j43,4
MFG_j43_op5,MFG,device,d208,949.930000,1015.954000,j43,5
MFG_j44_op1,MFG,device,d119,1015.954000,1145.618000,j44,1
MFG_j44_op2,MFG,device,d242,1145.618000,1312.760000,j44,2
MFG_j44_op3,MFG,device,d134,1312.760000,1427.698000,j44,3
MFG_j44_op4,MFG,device,d138,363.612000,463.168000,j44,4
MFG_j44_op5,MFG,device,d103,463.168000,551.980000,j44,5
MFG_j45_op1,MFG,device,d13,1654.684000,1718.150000,j45,1
MFG_j45_op2,MFG,device,d74,1718.150000,1822.266000,j45,2
MFG_j45_op3,MFG,device,d297,1877.794000,2019.066000,j45,3
MFG_j45_op4,MFG,device,d239,547.856000,609.956000,j45,4
MFG_j45_op5,MFG,device,d274,686.200000,810.220000,j45,5
MFG_j46_op1,MFG,device,d297,810.220000,956.748000,j46,1
MFG_j46_op2,MFG,device,d54,956.748000,1057.056000,j46,2
MFG_j46_op3,MFG,device,d274,1580.722000,1706.380000,j46,3
MFG_j46_op4,MFG,device,d129,451.616000,535.972000,j46,4
MFG_j46_op5,MFG,device,d113,535.972000,613.100000,j46,5
MFG_j47_op1,MFG,device,d40,613.100000,724.912000,j47,1
MFG_j47_op2,MFG,device,d75,1463.956000,1611.472000,j47,2
MFG_j47_op3,MFG,device,d121,1611.472000,1728.876000,j47,3
MFG_j47_op4,MFG,device,d295,356.866000,433.982000,j47,4
MFG_j47_op5,MFG,device,d258,1019.174000,1174.208000,j47,5
MFG_j48_op1,MFG,device,d132,1174.208000,1276.832000,j48,1
MFG_j48_op2,MFG,device,d171,1276.832000,1396.496000,j48,2
MFG_j48_op3,MFG,device,d54,1396.496000,1470.952000,j48,3
MFG_j48_op4,MFG,device,d180,1278.832000,1358.490000,j48,4
MFG_j48_op5,MFG,device,d63,1358.490000,1440.834000,j48,5
MFG_j49_op1,MFG,device,d142,1440.834000,1530.896000,j49,1
