gen,stable_true_gate15 mean,stable_true_gate15 var,stable_false mean,stable_false var
2100,0.34584760000000003,5.194626400000064e-07,0.3504551,6.606770889999998e-06
2150,0.3456432,5.223043600000144e-07,0.3502141,6.480043089999951e-06
2200,0.34553090000000003,5.65243690000005e-07,0.3499383,6.321739609999968e-06
2250,0.3454165,5.502452499999987e-07,0.3496994,6.163296839999988e-06
2300,0.3453041,4.626570900000014e-07,0.3494298,5.928376559999995e-06
2350,0.34525510000000004,4.2864189000000877e-07,0.34923570000000004,6.4808246099999974e-06
2400,0.3452102,3.7564996000000404e-07,0.3489274,6.0249578399999656e-06
2450,0.3451019,3.5246728999999857e-07,0.3487456,5.900544239999997e-06
2500,0.345055,3.026398000000011e-07,0.3484597,5.626818409999999e-06
2550,0.345004,3.565433999999979e-07,0.3482882,5.934797559999999e-06
2600,0.344959,3.5844659999999554e-07,0.3481165,5.563850450000029e-06
2650,0.3448875,3.4414004999999193e-07,0.34792670000000003,5.049567809999991e-06
2700,0.3447731,4.025088899999984e-07,0.34771640000000004,5.364009039999998e-06
2750,0.34472420000000004,5.052821600000045e-07,0.3475427,5.030935810000013e-06
2800,0.3446997,4.812738100000001e-07,0.3473548,4.522114959999992e-06
2850,0.34460379999999996,4.5827176000000007e-07,0.3471629,4.6494270899999734e-06
2900,0.3445017,5.148822100000038e-07,0.3469912,4.446430159999988e-06
2950,0.3444568,5.020213599999879e-07,0.3468727,4.16441981e-06
3000,0.3443832,4.478563599999893e-07,0.3465684,3.6394100399999977e-06
3050,0.3443443,4.6373400999999304e-07,0.3464785,3.46249304999998e-06
3100,0.3443381,4.7029269000000405e-07,0.3463255,3.214820049999997e-06
3150,0.3443155,5.061520499999998e-07,0.3461458,3.1436511600000004e-06
3200,0.3442503,4.821950100000067e-07,0.3459212,2.8627141600000083e-06
3250,0.3442014,4.1309324000001107e-07,0.3458456,2.8641000399999923e-06
3300,0.3441523,3.9782481000000786e-07,0.345582,2.4000506000000284e-06
