gen,CCHIHH_Full mean,CCHIHH_Full var,GDE mean,GDE var,CGA mean,CGA var,IMOMA mean,IMOMA var
7500,0.03878569,3.0200311828999993e-06,0.03734513,2.0533192141e-06,0.05122143,1.1654168900999981e-06,0.058245349999999994,2.1769197904999988e-06
7550,0.03877768,3.0039864415999994e-06,0.03733256,2.074699514399998e-06,0.05117005,1.1252831565000014e-06,0.05822009,2.2259201488999983e-06
7600,0.038767010000000005,2.9999038868999947e-06,0.03732199,2.111030064899999e-06,0.05113518,1.1266924656000022e-06,0.0582125,2.2507598659999975e-06
7650,0.03875534,2.991497150399996e-06,0.0373168,2.118528902000001e-06,0.0511041,1.1007015340000004e-06,0.05817655000000001,2.1478418065000017e-06
7700,0.03874383,2.9978303000999987e-06,0.037308799999999996,2.1373040240000005e-06,0.05108851,1.1179777869000013e-06,0.0581666,2.160383652e-06
7750,0.0387254,3.0205002799999944e-06,0.03729694,2.1475675864e-06,0.05105151,1.1637123629000033e-06,0.0581666,2.160383652e-06
7800,0.03871281,3.0342231009000005e-06,0.0372946,2.1465373259999985e-06,0.05101290000000001,1.1687533620000002e-06,0.05811735999999999,2.2766184264e-06
7850,0.0387046,3.020090600000003e-06,0.03729287,2.149006246099999e-06,0.050982799999999995,1.1936250879999998e-06,0.05811735999999999,2.2766184264e-06
7900,0.03868912,3.0358304676000003e-06,0.03728361,2.187118694899999e-06,0.0509398,1.1976212760000011e-06,0.05811735999999999,2.2766184264e-06
7950,0.03867472,3.0152183015999998e-06,0.03728025,2.192791632499999e-06,0.050904859999999996,1.1743021983999995e-06,0.05811735999999999,2.2766184264e-06
8000,0.03866735,3.0270391824999985e-06,0.0372744,2.2110301119999962e-06,0.05086123,1.1807627600999999e-06,0.05811735999999999,2.2766184264e-06
8050,0.03865945,3.0470690345000007e-06,0.037271280000000004,2.216743851600001e-06,0.05084153,1.1752278081e-06,0.0580508,2.3093100359999996e-06
8100,0.03864305,3.016068752500001e-06,0.03726196,2.256334828399998e-06,0.05079708000000001,1.2070852836000004e-06,0.058034459999999996,2.2333629024000003e-06
8150,0.038631769999999996,3.025128656100002e-06,0.03725788,2.2586781955999973e-06,0.050757319999999995,1.2230287656000026e-06,0.058034459999999996,2.2333629024000003e-06
8200,0.0386274,3.0262552880000027e-06,0.03725109,2.265215936900002e-06,0.05071892,1.2057795035999998e-06,0.05798503000000001,2.3076853561000005e-06
8250,0.038619930000000004,3.038697210100001e-06,0.037248540000000004,2.2600244904000004e-06,0.05068631999999999,1.2157968556000002e-06,0.05798103,2.318471996100002e-06
8300,0.038612350000000004,3.050903950500001e-06,0.03724384,2.2765597963999997e-06,0.05065439000000001,1.192976760899999e-06,0.05798103,2.318471996100002e-06
8350,0.0386052,3.0542583320000014e-06,0.03723688,2.2817735896000023e-06,0.0506071,1.1559535120000004e-06,0.05797388999999999,2.2824943929000023e-06
8400,0.03858857,3.0434215820999974e-06,0.037225579999999994,2.2904764336000016e-06,0.050582400000000007,1.1532701000000008e-06,0.05794829,2.172451324900002e-06
8450,0.03857582,3.0705060675999977e-06,0.03722277,2.2925834420999975e-06,0.05054406,1.1377606683999988e-06,0.057897849999999994,2.2899230585000026e-06
8500,0.03856771,3.0644253668999955e-06,0.037219760000000005,2.2874129344000024e-06,0.05051312,1.1697486216e-06,0.057897849999999994,2.2899230585000026e-06
8550,0.038554820000000004,3.0923810535999954e-06,0.03721734,2.286652744400002e-06,0.050456089999999995,1.1056891988999986e-06,0.05788335,2.2132644585000028e-06
8600,0.03854805,3.0953263244999955e-06,0.03720984,2.3064880844000022e-06,0.0504112,1.1339504719999996e-06,0.057883300000000006,2.2132247260000033e-06
8650,0.03853811,3.112087610899998e-06,0.03719274,2.366863188399998e-06,0.05038267,1.1444690681000001e-06,0.05786571,2.2020394209000035e-06
8700,0.038531510000000005,3.109984566899998e-06,0.037181940000000004,2.3967796264000012e-06,0.05034677,1.114435602099997e-06,0.05786571,2.2020394209000035e-06
8750,0.03851751,3.1139345128999994e-06,0.03717855,2.4084509284999982e-06,0.05029688,1.1151705356e-06,0.057864589999999994,2.201156524900003e-06
8800,0.03850958,3.1264358916e-06,0.03717591,2.4041206509000023e-06,0.05027623,1.1082417540999995e-06,0.057864589999999994,2.201156524900003e-06
8850,0.03850076,3.1424143023999975e-06,0.03716894,2.4324276023999984e-06,0.05024001,1.0684197668999997e-06,0.0578639,2.201400916000003e-06
